partType,name,image,url,sizeType,storageType,brand,socket,speed,coreCount,threadCount,power,VRAM,resolution,size,space,productId,precio_ficticio,price_category
storage,Crucial P3 Plus 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (CT500P3PSSD8),https://cdna.pcpartpicker.com/static/forever/images/product/2830bf3ba317c794ccde742efe4304be.256p.jpg,https://pcpartpicker.com/product/vPpzK8/crucial-p3-plus-500-gb-m2-2280-nvme-solid-state-drive-ct500p3pssd8,,NVME,,,,,,,,,,500.0,11927,123.68189158439253,barato
motherboard,MSI B250 PC MATE ATX LGA1151 Motherboard (B250 PC MATE),https://cdna.pcpartpicker.com/static/forever/images/product/6fa321eef4861972187a8a67aee2b1cf.256p.jpg,https://pcpartpicker.com/product/NdtWGX/msi-b250-pc-mate-atx-lga1151-motherboard-b250-pc-mate,ATX,,Intel,LGA 1151,,,,,,,,,7311,59.39945907487388,barato
motherboard,MSI MAG Z390M MORTAR Micro ATX LGA1151 Motherboard (MAG Z390M MORTAR),https://m.media-amazon.com/images/I/51Eb0zILS1L.jpg,https://pcpartpicker.com/product/h7L48d/msi-mag-z390m-mortar-micro-atx-lga1151-motherboard-mag-z390m-mortar,ATX,,Intel,LGA 1151,,,,,,,,,7361,64.56993178155341,barato
motherboard,Biostar B560MH-E 2.0 Micro ATX LGA1200 Motherboard (B560MH-E 2.0),https://m.media-amazon.com/images/I/517l861RSwL.jpg,https://pcpartpicker.com/product/L7rRsY/biostar-b560mh-e-20-micro-atx-lga1200-motherboard-b560mh-e-20,MicroATX,,Intel,LGA 1200,,,,,,,,,8126,92.28759216536551,barato
memory,G.Skill Ripjaws V 32 GB (2 x 16 GB) DDR4-4000 CL18 Memory (F4-4000C18D-32GVK),https://cdna.pcpartpicker.com/static/forever/images/product/dcd11301eb1903a0859237240193174b.256p.jpg,https://pcpartpicker.com/product/dqbTwP/gskill-ripjaws-v-32-gb-2-x-16-gb-ddr4-4000-cl18-memory-f4-4000c18d-32gvk,,DDR4,,,,,,,,,32.0,,5993,68.66599241244727,barato
psu,Sentey MBP HM 1000 W 80+ Bronze Certified Semi-modular ATX Power Supply (MBP1000-HM),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,https://pcpartpicker.com/product/Vz7p99/sentey-mbp-hm-1000-w-80-bronze-certified-semi-modular-atx-power-supply-mbp1000-hm,ATX,,,,,,,1000.0,,,,,11589,65.9346146080745,barato
gpu,Asus DUAL GeForce RTX 2080 8 GB Video Card (DUAL-RTX2080-8G),https://cdna.pcpartpicker.com/static/forever/images/product/194b9ea773b2ab1a0e734f53e20a48c8.256p.jpg,https://pcpartpicker.com/product/6kPKHx/asus-geforce-rtx-2080-11gb-dual-video-card-dual-rtx2080-8g,,,NVIDIA,,,,,250.0,8.0,1080p,,,3736,431.41012275333185,intermedio
cpu,Intel Core i3-7100T 3.4 GHz Dual-Core Processor (BX80677I37100T),https://cdna.pcpartpicker.com/static/forever/images/product/6575bf30b14742cef9e7ddae7fb2ce7f.256p.jpg,https://pcpartpicker.com/product/qXp323/intel-core-i3-7100t-34ghz-dual-core-processor-bx80677i37100t,,,Intel,LGA 1151,3.4,2.0,4.0,50.0,,,,,2450,119.05330084266973,barato
gpu,Zotac AMP Extreme Core GeForce RTX 2070 8 GB Video Card (ZT-T20700C-10P),https://m.media-amazon.com/images/I/31jlF7P2XnL.jpg,https://pcpartpicker.com/product/67F48d/zotac-geforce-rtx-2070-8-gb-amp-extreme-core-video-card-zt-t20700c-10p,,,NVIDIA,,,,,200.0,8.0,1080p,,,3678,375.4052634821035,intermedio
memory,Silicon Power XPOWER Turbine 32 GB (2 x 16 GB) DDR4-3200 CL16 Memory (SP032GXLZU320BDA),https://m.media-amazon.com/images/I/411HKKMg0IL.jpg,https://pcpartpicker.com/product/w98bt6/silicon-power-xpower-turbine-32-gb-2-x-16-gb-ddr4-3200-cl16-memory-sp032gxlzu320bda,,DDR4,,,,,,,,,32.0,,6012,55.142822593301275,barato
motherboard,ASRock A320M/ac Micro ATX AM4 Motherboard (A320M/ac),https://static/forever/img/no-image.png,https://pcpartpicker.com/product/mCLdnQ/asrock-a320mac-micro-atx-am4-motherboard-a320mac,ATX,,AMD,AM4,,,,,,,,,9113,145.60369228940982,barato
psu,SeaSonic PRIME Platinum 1200 W 80+ Platinum Certified Fully Modular ATX Power Supply (SSR-1200PD),https://cdna.pcpartpicker.com/static/forever/images/product/7d86a9e941825a73c01e0b158d441adc.256p.jpg,https://pcpartpicker.com/product/h9p323/seasonic-prime-platinum-1200w-80-platinum-certified-fully-modular-atx-power-supply-ssr-1200pd,ATX,,,,,,,1200.0,,,,,11716,323.2441511325452,muy caro
storage,"Samsung Spinpoint F3 1 TB 3.5"" 7200 RPM Internal Hard Drive (ST1000DM005/HD103SJ)",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,https://pcpartpicker.com/product/ZqjG3C/samsung-internal-hard-drive-st1000dm005hd103sj,,HDD,,,,,,,,,,1000.0,13537,89.3589476733276,barato
storage,"Seagate Exos X20 18 TB 3.5"" 7200 RPM Internal Hard Drive (ST18000NM003D)",https://cdna.pcpartpicker.com/static/forever/images/product/dc88f888259b76c74f062ea0522be847.256p.jpg,https://pcpartpicker.com/product/DthFf7/seagate-exos-x20-18-tb-35-7200rpm-internal-hard-drive-st18000nm003d,,HDD,,,,,,,,,,1000.0,13653,93.07547790909355,barato
psu,Enermax REVOLUTION D.F. 2 1200 W 80+ Gold Certified Fully Modular ATX Power Supply (ERS1200EWT),https://cdna.pcpartpicker.com/static/forever/images/product/423ce1169a7be08796bca3fdeaf186fd.256p.jpg,https://pcpartpicker.com/product/6PsV3C/enermax-revolution-df-2-1200-w-80-gold-certified-fully-modular-atx-power-supply-ers1200ewt,ATX,,,,,,,1200.0,,,,,11690,248.18123977878489,caro
motherboard,Biostar TA870+ ATX AM3 Motherboard (TA870+),https://images-na.ssl-images-amazon.com/images/I/31hHz6H0bOL.jpg,https://pcpartpicker.com/product/c3DwrH/biostar-motherboard-ta870,ATX,,AMD,AM3,,,,,,,,,8733,111.78828837440085,barato
motherboard,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5 Motherboard (ROG STRIX B650E-F GAMING WIFI),https://cdna.pcpartpicker.com/static/forever/images/product/b950287e2f141caa4638fc93dc99a6ba.256p.jpg,https://pcpartpicker.com/product/s8nypg/asus-rog-strix-b650e-f-gaming-wifi-atx-am5-motherboard-rog-strix-b650e-f-gaming-wifi,ATX,,AMD,AM5,,,,,,,,,9406,120.15327836879959,barato
psu,Thermaltake Toughpower 1350 W 80+ Silver Certified Semi-modular ATX Power Supply (TP-1350M),https://images-na.ssl-images-amazon.com/images/I/41CAVzdCFLL.jpg,https://pcpartpicker.com/product/wfBv6h/thermaltake-power-supply-tp1350m,ATX,,,,,,,1350.0,,,,,11816,95.66984077929246,barato
memory,Patriot Venom RGB 32 GB (2 x 16 GB) DDR5-6200 CL40 Memory (PVVR532G620C40K),https://m.media-amazon.com/images/I/31BQnKeXTyL.jpg,https://pcpartpicker.com/product/bggFf7/patriot-venom-rgb-32-gb-2-x-16-gb-ddr5-6200-cl40-memory-pvvr532g620c40k,,DDR5,,,,,,,,,32.0,,7020,52.860448004325974,barato
psu,Cooler Master XG650 Plus 650 W 80+ Platinum Certified Fully Modular ATX Power Supply (MPG-6501-AFBAP-XUS),https://m.media-amazon.com/images/I/51ndVBqVbFL.jpg,https://pcpartpicker.com/product/TXxRsY/cooler-master-xg650-plus-650-w-80-platinum-certified-fully-modular-atx-power-supply-mpg-6501-afbap-xus,ATX,,,,,,,650.0,,,,,10507,393.09814044731263,muy caro
storage,"Western Digital Caviar Black 1.5 TB 3.5"" 7200 RPM Internal Hard Drive (WD1501FASS)",https://m.media-amazon.com/images/I/51-BGqFQrzL.jpg,https://pcpartpicker.com/product/MvyFf7/western-digital-internal-hard-drive-wd1501fass,,HDD,,,,,,,,,,1000.0,13695,76.27357307593418,barato
storage,"Western Digital AV-GP 1 TB 3.5"" 5400 RPM Internal Hard Drive (WD10EVDS)",https://images-na.ssl-images-amazon.com/images/I/51yl2DEVzkL.jpg,https://pcpartpicker.com/product/jt2kcf/western-digital-internal-hard-drive-wd10evds,,HDD,,,,,,,,,,1000.0,13558,62.425859639899414,barato
memory,TEAMGROUP T-Force Vulcan Z 32 GB (2 x 16 GB) DDR4-3600 CL18 Memory (TLZGD432G3600HC18JDC01),https://cdna.pcpartpicker.com/static/forever/images/product/01da19f16d5e4c5808f64fb9049afb68.256p.jpg,https://pcpartpicker.com/product/PJ6qqs/teamgroup-t-force-vulcan-z-32-gb-2-x-16-gb-ddr4-3600-cl18-memory-tlzgd432g3600hc18jdc01,,DDR4,,,,,,,,,32.0,,5972,41.61842057586789,barato
storage,ADATA Legend 800 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (ALEG-800-1000GCS),https://cdna.pcpartpicker.com/static/forever/images/product/9e7a250a3aa568063b40f67f2aeecf9f.256p.jpg,https://pcpartpicker.com/product/2GXV3C/adata-legend-800-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-aleg-800-1000gcs,,NVME,,,,,,,,,,1000.0,12101,66.64154255701574,barato
psu,Ultra ULT-LSP550 550 W ATX Power Supply (ULT-LSP550),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,https://pcpartpicker.com/product/ckwqqs/ultra-550w-atx-power-supply-ult-lsp550,ATX,,,,,,,550.0,,,,,10172,59.11808586124118,barato
memory,Kingston FURY Beast RGB 32 GB (2 x 16 GB) DDR5-5200 CL36 Memory (KF552C36BBEAK2-32),https://cdna.pcpartpicker.com/static/forever/images/product/656b218c4f751e9d239c3627befb3b7d.256p.jpg,https://pcpartpicker.com/product/2JYmP6/kingston-fury-beast-rgb-32-gb-2-x-16-gb-ddr5-5200-cl36-memory-kf552c36bbeak2-32,,DDR5,,,,,,,,,32.0,,7042,36.70905392196236,barato
psu,SeaSonic FOCUS GX 850 W 80+ Gold Certified Fully Modular ATX Power Supply (FOCUS-GX-850),https://cdna.pcpartpicker.com/static/forever/images/product/923d08dddeefd9976e03c76d149efb01.256p.jpg,https://pcpartpicker.com/product/7v3mP6/seasonic-focus-gx-850-w-80-gold-certified-fully-modular-atx-power-supply-focus-gx-850,ATX,,,,,,,850.0,,,,,11163,228.0349763083475,caro
gpu,Inno3D Twin X2 GeForce RTX 2070 8 GB Video Card (N20702-08D6-1160VA22),https://cdna.pcpartpicker.com/static/forever/images/product/d155fad065f5b1b7b9fba50013e8a0ac.256p.jpg,https://pcpartpicker.com/product/cgWfrH/inno3d-geforce-rtx-2070-8-gb-twin-x2-video-card-n20702-08d6-1160va22,,,NVIDIA,,,,,200.0,8.0,1080p,,,3677,318.1681644092336,intermedio
memory,OLOy Blade 32 GB (2 x 16 GB) DDR5-6000 CL32 Memory (ND5U1660320BRTDE),https://cdna.pcpartpicker.com/static/forever/images/product/c277f8decd47b93217055bc4443b24fe.256p.jpg,https://pcpartpicker.com/product/xfHqqs/oloy-blade-32-gb-2-x-16-gb-ddr5-6000-cl32-memory-nd5u1660320brtde,,DDR5,,,,,,,,,32.0,,6694,37.892442771431824,barato
motherboard,MSI 970A SLI Krait Edition ATX AM3+ Motherboard (970A SLIKraitEdition),https://cdna.pcpartpicker.com/static/forever/images/product/87bef5b5a51f7b5a337cdcdd68b7eb8d.256p.jpg,https://pcpartpicker.com/product/s8KhP6/msi-motherboard-970aslikraitedition,ATX,,AMD,AM3,,,,,,,,,8852,91.42910524402832,barato
psu,Thermaltake Toughpower GF2 ARGB 850 W 80+ Gold Certified Fully Modular ATX Power Supply (PS-TPD-0850F3FAGU-2),https://m.media-amazon.com/images/I/51lJWFq6+RL.jpg,https://pcpartpicker.com/product/pCpmP6/thermaltake-toughpower-gf2-argb-850-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-0850f3fagu-2,ATX,,,,,,,850.0,,,,,11315,211.83331873189536,caro
motherboard,Gigabyte B650E AORUS MASTER ATX AM5 Motherboard (B650E AORUS MASTER),https://cdna.pcpartpicker.com/static/forever/images/product/f1f5d5b02763a1ad11b8769edbe88207.256p.jpg,https://pcpartpicker.com/product/BhWzK8/gigabyte-b650e-aorus-master-atx-am5-motherboard-b650e-aorus-master,ATX,,AMD,AM5,,,,,,,,,9459,141.6341935041319,barato
memory,TEAMGROUP T-Create Expert 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory (CTCWD532G6000HC30DC01),https://m.media-amazon.com/images/I/31wJnjLfF8L.jpg,https://pcpartpicker.com/product/QzP8TW/teamgroup-t-create-expert-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-ctcwd532g6000hc30dc01,,DDR5,,,,,,,,,32.0,,6684,67.6937467465855,barato
gpu,Asus ROG STRIX OC GeForce RTX 4060 8 GB Video Card (rog-strix-rtx4060-o8g-gaming),https://cdna.pcpartpicker.com/static/forever/images/product/1aa1b44a29e54e533bbaf18564eac37a.256p.jpg,https://pcpartpicker.com/product/XCdG3C/asus-rog-strix-oc-geforce-rtx-4060-8-gb-video-card-rog-strix-rtx4060-o8g-gaming,,,NVIDIA,,,,,120.0,8.0,1080p/1440p,,,4065,1786.0434017265197,muy caro
memory,V-Color Prism Pro 16 GB (2 x 8 GB) DDR4-3600 CL18 Memory (TL8G36818D-E6PRKWK),https://cdna.pcpartpicker.com/static/forever/images/product/31e1f2e233b76af0bbc5cd319ab9979e.256p.jpg,https://pcpartpicker.com/product/3p6p99/v-color-prism-pro-16-gb-2-x-8-gb-ddr4-3600-cl18-memory-tl8g36818d-e6prkwk,,DDR4,,,,,,,,,16.0,,6393,50.0357530886185,barato
gpu,EVGA Founders Edition GeForce GTX 1080 Ti 11 GB Video Card (11G-P4-6390-KR),https://m.media-amazon.com/images/I/41ULr9QrSwL.jpg,https://pcpartpicker.com/product/tgyxFT/evga-geforce-gtx-1080-ti-11gb-founder-edition-video-card-11g-p4-6390-kr,,,NVIDIA,,,,,175.0,11.0,1080p,,,3884,222.74164006817446,barato
psu,iTek GF EVO 650 W 80+ Gold Certified Fully Modular ATX Power Supply (ITPSEGF650),https://m.media-amazon.com/images/I/51NoglG6AlL.jpg,https://pcpartpicker.com/product/dYytt6/itek-gf-evo-650-w-80-gold-certified-fully-modular-atx-power-supply-itpsegf650,ATX,,,,,,,650.0,,,,,10422,151.9339499471,caro
memory,Samsung M393A4K40BB1-CRC 32 GB (1 x 32 GB) Registered DDR4-2400 CL17 Memory (M393A4K40BB1-CRC),https://cdna.pcpartpicker.com/static/forever/images/product/db3d836a5ca51be4ea90d793d989a18c.256p.jpg,https://pcpartpicker.com/product/bxbwrH/samsung-32-gb-1-x-32-gb-registered-ddr4-2400-memory-m393a4k40bb1-crc,,DDR4,,,,,,,,,32.0,,6452,44.30076226893718,barato
memory,Corsair Vengeance LPX 32 GB (2 x 16 GB) DDR4-3200 CL16 Memory (CMK32GX4M2E3200C16),https://cdna.pcpartpicker.com/static/forever/images/product/ae9c14173c768f2fa9ad4d3c957e94a0.256p.jpg,https://pcpartpicker.com/product/W6ndnQ/corsair-vengeance-lpx-32-gb-2-x-16-gb-ddr4-3200-memory-cmk32gx4m2e3200c16,,DDR4,,,,,,,,,32.0,,5963,42.54054565263064,barato
storage,"Hitachi A7K1000-500 500 GB 3.5"" 7200 RPM Internal Hard Drive (HUA721050KLA330)",https://images-na.ssl-images-amazon.com/images/I/51cHXJPig%2BL.jpg,https://pcpartpicker.com/product/DBR48d/hitachi-internal-hard-drive-hua721050kla330,,HDD,,,,,,,,,,500.0,13345,134.85971494663585,barato
psu,EVGA SuperNOVA 850 T2 850 W 80+ Titanium Certified Fully Modular ATX Power Supply (220-T2-0850-X1),https://cdna.pcpartpicker.com/static/forever/images/product/c56ce498468a90a417aae520258bd4f7.256p.jpg,https://pcpartpicker.com/product/xfvZxr/evga-supernova-850-t2-850-w-80-titanium-certified-fully-modular-atx-power-supply-220-t2-0850-x1,ATX,,,,,,,850.0,,,,,11178,58.05160842271873,barato
motherboard,ASRock 880GMH/USB3 Micro ATX AM3 Motherboard (880GMH/USB3),https://images-na.ssl-images-amazon.com/images/I/61rUkZX5y1L.jpg,https://pcpartpicker.com/product/2mckcf/asrock-motherboard-880gmhusb3,ATX,,AMD,AM3,,,,,,,,,8675,122.6675203381533,barato
psu,Enermax REVOLUTION X't II 650 W 80+ Gold Certified Semi-modular ATX Power Supply (ERX650AWT),https://cdna.pcpartpicker.com/static/forever/images/product/c802ebee28f8bad6047964cc73465256.256p.jpg,https://pcpartpicker.com/product/t2mxFT/enermax-revolution-xt-ii-650-w-80-gold-certified-semi-modular-atx-power-supply-erx650awt,ATX,,,,,,,650.0,,,,,10597,178.54260038779242,caro
psu,Antec NeoECO Gold 850 W 80+ Gold Certified Fully Modular ATX Power Supply (NE850G M),https://cdna.pcpartpicker.com/static/forever/images/product/998812abaf63290ecf99c4d9105ae6dd.256p.jpg,https://pcpartpicker.com/product/3z4Ycf/antec-neoeco-gold-850-w-80-gold-certified-fully-modular-atx-power-supply-ne850g-m,ATX,,,,,,,850.0,,,,,11237,231.31837928244695,caro
cpu,AMD Phenom II X6 1045T 2.7 GHz 6-Core Processor (HDT45TWFGRBOX),https://images-na.ssl-images-amazon.com/images/I/51KwnH%2BBduL.jpg,https://pcpartpicker.com/product/VHH323/amd-cpu-hdt45twfgrbox,,,AMD,AM3,2.7,6.0,6.0,125.0,,,,,2823,144.85267321546394,barato
gpu,MSI VENTUS XS OC GeForce GTX 1660 Ti 6 GB Video Card (GTX 1660 Ti VENTUS XS 6G OC),https://m.media-amazon.com/images/I/51Lasfm+JYL.jpg,https://pcpartpicker.com/product/RGyV3C/msi-geforce-gtx-1660-ti-6-gb-ventus-xs-video-card-gtx-1660-ti-ventus-xs-6g-oc,,,NVIDIA,,,,,125.0,6.0,1080p,,,3099,251.13930224332572,barato
gpu,KFA2 EX Gamer GeForce RTX 4070 12 GB Video Card (47NOM7MD7JEK),https://cdna.pcpartpicker.com/static/forever/images/product/88ef2a775112c452e1c8d7fe7bcb7eae.256p.jpg,https://pcpartpicker.com/product/Z3ZXsY/kfa2-ex-gamer-geforce-rtx-4070-12-gb-video-card-47nom7md7jek,,,NVIDIA,,,,,250.0,12.0,1440p,,,4428,2876.92813787211,muy caro
storage,Samsung 980 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (MZ-V8V500B/AM),https://cdna.pcpartpicker.com/static/forever/images/product/ca0b46376f072d2483c385bad50c6310.256p.jpg,https://pcpartpicker.com/product/m6rRsY/samsung-980-500-gb-m2-2280-nvme-solid-state-drive-mz-v8v500bam,,NVME,,,,,,,,,,500.0,11925,117.97244909572036,barato
cpu,Intel Core i9-12900KF 3.2 GHz 16-Core Processor (BX8071512900KF),https://cdna.pcpartpicker.com/static/forever/images/product/c3d3a6843e0c0a5d98155e9fa68c092c.256p.jpg,https://pcpartpicker.com/product/2sstt6/intel-core-i9-12900kf-32-ghz-8-core-processor-bx8071512900kf,,,Intel,LGA 1700,3.2,16.0,24.0,150.0,,,,,2682,918.8992750863102,muy caro
storage,ADATA LEGEND 850 LITE 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (ALEG-850L-2000GCS),https://m.media-amazon.com/images/I/31-mmDK5YJL.jpg,https://pcpartpicker.com/product/MQ7scf/adata-legend-850-lite-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-aleg-850l-2000gcs,,NVME,,,,,,,,,,2000.0,12549,59.46736595477415,barato
psu,FSP Group HEXA 85+ 450 W 80+ Bronze Certified ATX Power Supply (HEXA 85+ 450W),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,https://pcpartpicker.com/product/jHBTwP/fsp-group-hexa-85-450w-80-bronze-certified-atx-power-supply-hexa-85-450w,ATX,,,,,,,450.0,,,,,9730,86.03074383574912,barato
gpu,Asus Noctua OC GeForce RTX 3070 LHR 8 GB Video Card (RTX3070-O8G-NOCTUA),https://m.media-amazon.com/images/I/416By5uhGiL.jpg,https://pcpartpicker.com/product/H7ytt6/asus-geforce-rtx-3070-lhr-8-gb-noctua-oc-video-card-rtx3070-o8g-noctua,,,NVIDIA,,,,,300.0,8.0,1440p,,,4255,636.9551910833251,caro
psu,Antec True Power 1200 W 80+ Silver Certified Semi-modular ATX Power Supply (TPQ-1200),https://images-na.ssl-images-amazon.com/images/I/51y%2BD5oFqxL.jpg,https://pcpartpicker.com/product/MgW9TW/antec-power-supply-tpq1200,ATX,,,,,,,1200.0,,,,,11733,89.09140903411776,barato
gpu,Asus TUF GAMING OC GeForce RTX 3060 12GB 12 GB Video Card (TUF-RTX3060-O12G-GAMING),https://cdna.pcpartpicker.com/static/forever/images/product/95377ff4251af65288eadb5097243730.256p.jpg,https://pcpartpicker.com/product/jKZ9TW/asus-geforce-rtx-3060-12-gb-tuf-gaming-oc-video-card-tuf-rtx3060-o12g-gaming,,,NVIDIA,,,,,170.0,12.0,1080p,,,4022,510.9369581399483,caro
memory,G.Skill Trident Z5 RGB 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory (F5-6000J3040F16GX2-TZ5RK),https://cdna.pcpartpicker.com/static/forever/images/product/23b2869eced47ba425a5bee33aca4788.256p.jpg,https://pcpartpicker.com/product/YnBG3C/gskill-trident-z5-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-f5-6000j3040f16gx2-tz5rk,,DDR5,,,,,,,,,32.0,,6622,30.114033379973506,barato
motherboard,ASRock Fatal1ty Z370 Gaming-ITX/ac Mini ITX LGA1151 Motherboard (Fatal1ty Z370 Gaming-ITX/ac),https://cdna.pcpartpicker.com/static/forever/images/product/ece210a28f954a18ee96a65d08ea68dc.256p.jpg,https://pcpartpicker.com/product/mvzZxr/asrock-fatal1ty-z370-gaming-itxac-mini-itx-lga1151-motherboard-fatal1ty-z370-gaming-itxac,ITX,,Intel,LGA 1151,,,,,,,,,7772,59.794402060724664,barato
memory,Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-7200 CL34 Memory (CMH32GX5M2X7200C34),https://cdna.pcpartpicker.com/static/forever/images/product/dea26bfdf9e119c126e29a3756ec5cc8.256p.jpg,https://pcpartpicker.com/product/fKytt6/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-7200-cl34-memory-cmh32gx5m2x7200c34,,DDR5,,,,,,,,,32.0,,6600,54.15014230495054,barato
psu,Xion AXP-1000K14XE 1000 W 80+ Bronze Certified Semi-modular ATX Power Supply (AXP-1000K14XE),https://images-na.ssl-images-amazon.com/images/I/41hCQ%2B6RclL.jpg,https://pcpartpicker.com/product/HJLypg/xion-power-supply-axp1000k14xe,ATX,,,,,,,1000.0,,,,,11630,86.13388853938557,barato
motherboard,ASRock H370M-ITX/ac Mini ITX LGA1151 Motherboard (H370M-ITX/ac),https://cdna.pcpartpicker.com/static/forever/images/product/299c652b7d20190b6928b03e9e8507df.256p.jpg,https://pcpartpicker.com/product/22bwrH/asrock-h370m-itxac-mini-itx-lga1151-motherboard-h370m-itxac,ITX,,Intel,LGA 1151,,,,,,,,,7740,147.8202536404728,barato
psu,Mars Gaming MP700 700 W ATX Power Supply (MP700),https://images-eu.ssl-images-amazon.com/images/I/51fpmu3fSPL.jpg,https://pcpartpicker.com/product/8PtWGX/mars-gaming-700w-atx-power-supply-mp700,ATX,,,,,,,700.0,,,,,10692,57.669360847197474,barato
